"Fecha","Usuario","CPU_Por","Memoria_Por","Proceso"
"210308-202901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-202901","hdfs","0.0","0.0","python2.7"
"210308-202901","hue","5.7","6.0","python2.7"
"210308-202901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202901","hue","0.0","0.0","python2.7"
"210308-202901","hue","0.0","0.0","python2.7"
"210308-202901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-203401","hdfs","0.0","0.0","python2.7"
"210308-203401","hue","5.7","6.0","python2.7"
"210308-203401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203401","hue","0.0","0.0","python2.7"
"210308-203401","hue","0.0","0.0","python2.7"
"210308-203401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-203901","hdfs","0.0","0.0","python2.7"
"210308-203901","hue","5.7","6.0","python2.7"
"210308-203901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203901","hue","0.0","0.0","python2.7"
"210308-203901","hue","0.0","0.0","python2.7"
"210308-203901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-203901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-204401","hdfs","0.0","0.0","python2.7"
"210308-204401","hue","5.7","6.0","python2.7"
"210308-204401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204401","hue","0.0","0.0","python2.7"
"210308-204401","hue","0.0","0.0","python2.7"
"210308-204401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-204901","hdfs","0.0","0.0","python2.7"
"210308-204901","hue","5.7","6.0","python2.7"
"210308-204901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204901","hue","0.0","0.0","python2.7"
"210308-204901","hue","0.0","0.0","python2.7"
"210308-204901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-204901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-205401","hdfs","0.0","0.0","python2.7"
"210308-205401","hue","5.7","6.0","python2.7"
"210308-205401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205401","hue","0.0","0.0","python2.7"
"210308-205401","hue","0.0","0.0","python2.7"
"210308-205401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-205901","hdfs","0.0","0.0","python2.7"
"210308-205901","hue","5.7","6.0","python2.7"
"210308-205901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205901","hue","0.0","0.0","python2.7"
"210308-205901","hue","0.0","0.0","python2.7"
"210308-205901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-205901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-210401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-210401","hdfs","0.0","0.0","python2.7"
"210308-210401","hue","5.7","6.0","python2.7"
"210308-210401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-210401","hue","0.0","0.0","python2.7"
"210308-210401","hue","0.0","0.0","python2.7"
"210308-210401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-210401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-210401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-210401","hue","0.0","0.0","/usr/sbin/httpd"
